NO;Tolueno;Tolueno;T4-CSF;T4-CCF;T4-F;T7;T10-R;T13;T15-R;T15-M;T20-naclo2;T21EGA;T23
1001.48048;87.29033154;87.29033154;26.00479555;26.99312303;21.39210985;51.0932819;16.88000775;66.19655233;55.81941063;58.4467279;35.69350561;12.7591657;31.67527258
1004.817818;87.18268991;87.18268991;23.73503928;25.07122141;18.59565321;50.25943421;16.64782543;65.99461886;53.64645513;56.6616964;32.88530502;11.85699693;27.05668169
1008.155155;87.07504827;87.07504827;21.32565978;23.1493198;16.1662702;49.42558653;16.14359412;65.77966345;51.3740145;54.81902463;30.12228143;10.99125513;22.54237431
1011.492492;86.24004781;86.24004781;18.91629211;20.19594558;13.73690692;48.59173884;15.58072179;65.56470804;49.10157387;52.30828621;27.39492794;10.27444744;18.31310118
1014.82983;84.91536123;84.91536123;15.15794314;16.85300868;11.40849184;47.75789116;14.98428105;65.28716329;46.89173951;49.72540508;24.75271377;9.605798429;14.29880892
1018.167167;83.19640621;83.19640621;11.34600034;13.51008878;9.453815858;46.92404347;14.39957207;65.00441443;44.90563693;46.73299173;22.13723935;9.082564007;10.8051031
1021.504505;76.33164772;76.33164772;7.812156164;9.979779991;7.499159597;46.07021463;14.46084653;64.71282092;42.91950509;43.74057838;19.40604211;8.615641811;7.6272262
1024.841842;69.46688922;69.46688922;5.644309835;6.43540087;5.79130287;44.01300859;16.58707907;64.34199891;40.49820262;41.14818292;16.58543898;8.281346635;5.295447734
1028.179179;63.31469039;63.31469039;3.476475339;3.242184525;4.432771511;41.95576193;18.60489748;63.97115357;37.88925697;38.64625064;13.32642927;8.010344053;3.371508162
1031.516517;57.75812499;57.75812499;1.946631122;2.306805308;3.074220431;39.89855589;20.53002444;63.56616647;35.28031132;36.14430297;10.20815247;7.856717265;2.369109117
1034.853854;52.38696981;52.38696981;1.473315561;1.371409078;2.186629518;37.84134985;22.93799619;63.07093591;31.41812812;34.13165094;7.335210133;7.772248928;1.712627162
1038.191191;57.01035167;57.01035167;1;1;1.593304899;35.7841438;25.00012942;62.575682;27.36388213;33.54213145;4.994244324;7.790257108;1.85497805
1041.528529;61.63373353;61.63373353;1.324485874;1.728458593;1;33.72689715;24.33255033;62.00383667;25.4538788;32.95262736;3.065060639;7.86962215;2.223419716
1044.865866;65.83878714;65.83878714;2.217617829;2.4569342;1.084304276;30.80030783;23.77795402;61.33908747;23.90303466;32.36310787;1.913636383;8.02319028;2.983478703
1048.203203;69.61145285;69.61145285;3.110749785;3.64962862;1.320612612;26.45095473;23.36760152;60.67436161;22.39969401;31.77358839;1;8.22216014;3.822747731
1051.540541;73.38411855;73.38411855;4.619518573;5.232549271;1.572973271;22.10160163;25.03948926;59.86912478;22.13568815;31.1840689;1.006572831;8.465769171;3.903675513
1054.877878;76.34232545;76.34232545;6.293695755;6.815452908;2.568631419;17.75228915;27.41518984;58.98115894;21.87165303;30.7681476;1.159977336;8.742872243;3.885182088
1058.215215;79.27121963;79.27121963;7.96788477;9.060870036;3.564289567;13.40293605;29.17029149;58.0931931;21.60764718;32.00113195;1.893302887;9.047075574;3.177999058
1061.552553;80.52721017;80.52721017;10.04959519;11.52988121;4.70763303;12.14123987;30.89361109;56.94744879;21.34364132;33.23411629;2.798239557;9.367703304;2.42407684
1064.88989;79.64350707;79.64350707;12.13310431;13.99889239;6.367056704;11.76659322;32.55586887;55.73997861;21.0796062;34.46710064;3.996224572;9.699006893;2.603386872
1068.227227;78.75980396;78.75980396;14.25101335;16.81088275;8.026480377;11.39190597;34.62975158;54.53250842;21.28498636;35.70008499;5.388639835;10.03588305;2.825571174
1071.564565;71.74480121;71.74480121;16.50402524;19.64017605;9.914383428;11.01721871;36.93477102;52.5117502;21.6127107;37.138305;6.926861768;10.37569213;3.800708002
1074.901902;64.14044051;64.14044051;18.75703713;22.21212011;12.11286146;10.64257207;39.07010187;50.47537966;21.94043504;39.23333766;8.679040256;10.7051773;4.801749477
1078.239239;58.6025995;58.6025995;20.97146004;23.39581429;14.31133949;10.26788481;40.96369842;47.85516866;22.26815938;39.91633783;10.49490986;11.03049771;6.054259973
1081.576577;56.35427824;56.35427824;23.13039575;24.57949145;16.74281285;10.2762509;42.13508704;42.13715872;22.59588372;40.2655202;12.53747169;11.32795531;7.165015251
1084.913914;54.10595699;54.10595699;25.28934331;25.61322686;19.3139848;11.08426929;41.90431892;36.41912544;22.92360806;40.61470258;14.60371108;11.61661412;7.44525644
1088.251251;63.35699889;63.35699889;27.15848891;26.38125932;21.88513703;13.21916629;40.49593832;31.30416216;23.52768975;40.96388495;16.75165602;11.85934327;8.280175703
1091.588589;74.49009546;74.49009546;28.84823896;27.14929178;24.56333104;14.30801736;38.27338138;27.38108007;24.59843544;41.31306733;18.34476686;12.09122059;11.359892
1094.925926;82.00538023;82.00538023;30.537989;27.96030085;27.26351319;16.67237274;36.04430995;23.45799797;25.66918113;41.6622497;19.00967347;12.25804556;13.59551851
1098.263263;82.27014393;82.27014393;31.71093544;28.80440156;29.95898218;19.04489114;34.65631637;20.29854317;26.66801304;42.01143207;19.16963799;12.4144293;13.30533104
1101.600601;82.53490763;82.53490763;32.77197265;29.64850228;32.50696306;19.84019794;34.86497848;17.86294972;27.51306592;42.36062984;18.95832082;12.47772189;12.77240179
1104.937938;83.07057815;83.07057815;33.82519977;30.74593699;35.05492422;20.63550474;37.07591354;15.42735626;28.35808954;42.72409912;18.67987876;12.53192241;11.68063864
1108.275275;83.67128793;83.67128793;34.6201375;31.91928683;37.54005651;21.43081154;39.02072219;12.73979521;29.20311315;43.89617938;18.38198728;12.45848188;10.62701211
1111.612613;84.89455076;84.89455076;35.4150634;33.09261966;39.81743545;22.22611834;40.96580021;9.937813751;30.04816603;45.06825965;18.10150804;12.37782635;9.642635499
1114.94995;87.71927562;87.71927562;36.31340209;35.00558909;42.09483412;23.02142514;44.82043846;7.135855627;30.58800239;46.24033991;17.89057524;12.14923391;9.153300859
1118.287287;90.54400047;90.54400047;37.54520826;36.93843051;44.21206452;23.81673194;48.78763772;4.944761993;31.07565223;47.41243557;17.99516398;11.91108013;9.383741402
1121.624625;91.3725648;91.3725648;38.77701443;39.07577662;46.12016116;24.61203874;52.96688037;2.84885923;31.56330207;48.52625976;19.10684375;11.53460944;10.19439064
1124.961962;91.54791649;91.54791649;40.21184763;42.15641331;48.02825779;25.40734554;56.14048524;1;32.05095191;49.62724421;21.86912421;11.14411936;11.68659532
1128.299299;91.6316505;91.6316505;41.900864;45.23703298;49.58527396;26.20265234;58.76735868;4.711417172;32.53860174;50.79846233;24.63057185;10.64792654;13.04365254
1131.636637;91.40334606;91.40334606;43.58988037;48.32815011;50.94311511;26.99795914;58.01473681;8.42285768;33.02625158;52.01326474;27.39143012;10.13607188;14.27197613
1134.973974;91.17504163;91.17504163;45.41999916;51.43616185;52.30095626;27.79326594;56.03655824;12.03476667;33.51393069;53.22806716;30.08682914;9.545732056;15.50833432
1138.311311;90.74424578;90.74424578;47.32561555;54.54417358;52.92064691;28.58857274;50.91018769;15.29379967;34.0004683;54.27816991;32.76411123;8.942897958;16.75089854
1141.648649;90.22687146;90.22687146;49.23123195;56.27101312;53.39910079;29.38387954;45.40968065;18.55280933;34.45521985;55.22888016;35.54660987;8.295366032;18.12945523
